,brands,basics_brand,popular_brand,upper_pop_brand,intermediary_brand,luxury_brand
781,,,steve & barry's,,,
782,,,tolani,,,
783,,,fire los angeles,,,
784,,,weather tamer,,,
785,,,coco reef,,,
786,,,comfort choice,,,
787,,,linea donatella,,,
788,,,requirements,,,
789,,,t-party,,,
790,,,mel by melissa,,,
791,,,la sportiv,,,
792,,,carnival,,,
793,,,earnest sewn,,,
794,,,buffalo,,,
795,,,sofft,,,
796,,,wanted,,,
797,,,lady hagen,,,
798,,,paper denim & cloth,,,
799,,,bacco bucci,,,
800,,,quicksilver,,,
801,,,yummie tummie,,,
802,,,lamaze,,,
803,,,william rast,,,
804,,,moth,,,
805,,,raw,,,
806,,,rebel spirit,,,
807,,,elan,,,
808,,,leith,,,
809,,,miss chievous,,,
810,,,jambu,,,
811,,,northcrest,,,
812,,,bcbg max azria,,,
813,,,boxercraft,,,
814,,,jams world,,,
815,,,mavi jeans,,,
816,,,elegant moments,,,
817,,,lapis,,,
818,,,ecko,,,
819,,,cocomo,,,
820,,,hourglass,,,
821,,,chic,,,
822,,,high sierra,,,
823,,,rich & skinny,,,
824,,,susana monaco,,,
825,,,curves,,,
826,,,cabernet,,,
827,,,heartsoul,,,
828,,,sasson,,,
829,,,kat von d beauty,,,
830,,,per se,,,
831,,,jezebel,,,
832,,,dex,,,
833,,,outbrook,,,
834,,,therapy,,,
835,,,donna ricco,,,
836,,,kaii,,,
837,,,joan & david,,,
838,,,remington,,,
839,,,bamboo cay,,,
840,,,geoffrey beene,,,
841,,,harlowe and graham,,,
842,,,bolle,,,
843,,,ecote,,,
844,,,andrea fenzi,,,
845,,,split,,,
846,,,marks and spencer,,,
847,,,etonic,,,
848,,,rainbow,,,
849,,,spalding,,,
850,,,royce,,,
851,,,airwalk,,,
852,,,denali,,,
853,,,beach joy,,,
854,,,perlina,,,
855,,,ruehl no. 925,,,
856,,,john meyer,,,
857,,,obermeyer,,,
858,,,ralph lauren blue label,,,
859,,,rhonda shear,,,
860,,,de la mer,,,
861,,,forecaster of boston,,,
862,,,j.lo by jennifer lopez,,,
863,,,romy,,,
864,,,easy spirit,,,
865,,,acrobat,,,
866,,,nina ricci,,,
867,,,coca-cola,,,
868,,,virgo,,,
869,,,diane gilman,,,
870,,,belle by sigerson morrison,,,
871,,,catherine malandrino,,,
872,,,rae dunn,,,
873,,,retro chic,,,
874,,,adonna,,,
875,,,karma,,,
876,,,miss dorby,,,
877,,,js boutique,,,
878,,,mimi maternity,,,
879,,,allison daley,,,
880,,,sony,,,
881,,,anne michelle,,,
882,,,tavik swimwear,,,
883,,,great expectations,,,
884,,,stitch's,,,
885,,,hilfiger denim,,,
886,,,osprey,,,
887,,,ccm,,,
888,,,nyc,,,
889,,,sesame street,,,
890,,,revolt,,,
891,,,realtree,,,
892,,,colebrook,,,
893,,,diba,,,
894,,,paradox,,,
895,,,mandee,,,
896,,,chantelle,,,
897,,,taverniti,,,
898,,,eastessence,,,
899,,,paprika,,,
900,,,sweet pea,,,
901,,,katydid,,,
902,,,cooperative,,,
903,,,zanella,,,
904,,,akris,,,
905,,,simply be,,,
906,,,marvel,,,
907,,,california waves,,,
908,,,nic+zoe,,,
909,,,investments,,,
910,,,ice,,,
911,,,denim riders,,,
912,,,stila,,,
913,,,courtenay,,,
914,,,stranded,,,
915,,,"express, inc.",,,
916,,,cdc clothing,,,
917,,,albert nipon,,,
918,,,motto,,,
919,,,fuda,,,
920,,,matty m,,,
921,,,peppa pig,,,
922,,,maison jules,,,
923,,,fashionomics,,,
924,,,dawgs,,,
925,,,josephine chaus,,,
926,,,gear,,,
927,,,doris,,,
928,,,cosabella,,,
929,,,people's liberation,,,
930,,,barbie,,,
931,,,jason wu,,,
932,,,passport,,,
933,,,elizabeth hurley,,,
934,,,shinola,,,
935,,,spiegel,,,
936,,,tinker bell,,,
937,,,super sunglasses,,,
938,,,blank nyc,,,
939,,,assets by sara blakely,,,
940,,,21men,,,
941,,,freshman,,,
942,,,j. mclaughlin,,,
943,,,violet & claire,,,
944,,,keen,,,
945,,,felicity & coco,,,
946,,,love riche,,,
947,,,beverly hills md,,,
948,,,onitsuka tiger,,,
949,,,mountain lake,,,
950,,,children's place,,,
951,,,christine alexander,,,
952,,,river island,,,
953,,,cyrus,,,
954,,,pastry shoe collection,,,
955,,,natural expressions,,,
956,,,living dead souls,,,
957,,,joe fresh,,,
958,,,solar,,,
959,,,bari jay,,,
960,,,millau,,,
961,,,cordani shoes,,,
962,,,anama,,,
963,,,akris punto,,,
964,,,escante,,,
965,,,breezies,,,
966,,,frank & oak,,,
967,,,anna sui,,,
968,,,pokemon,,,
969,,,hind,,,
970,,,marc ecko enterprises,,,
971,,,geiger,,,
972,,,benetton,,,
973,,,orla kiely,,,
974,,,supra,,,
975,,,luca luca,,,
976,,,preggers,,,
977,,,genetic denim,,,
978,,,christian lacroix,,,
979,,,gbx,,,
980,,,ghost,,,
981,,,ethika,,,
982,,,sephora,,,
983,,,twiggy,,,
984,,,peruvian connection,,,
985,,,xcvi,,,
986,,,azules,,,
987,,,heritage 1981,,,
988,,,zum zum,,,
989,,,maternal america,,,
990,,,true light,,,
991,,,i heart ronson,,,
992,,,ellemenno,,,
993,,,holloway,,,
994,,,ocean drive,,,
995,,,crystal rock,,,
996,,,stefano ricci,,,
997,,,j. america,,,
998,,,stonebridge,,,
999,,,francesco biasia,,,
1000,,,shock absorber,,,
1001,,,rj story,,,
1002,,,ali & kris,,,
1003,,,bearpaw,,,
1004,,,counterparts,,,
1005,,,avanti,,,
1006,,,von dutch,,,
1007,,,icon,,,
1008,,,pleasure party,,,
1009,,,lawman,,,
1010,,,reed,,,
1011,,,red engine,,,
1012,,,miss elaine,,,
1013,,,amoena,,,
1014,,,haband,,,
1015,,,lafayette  new york,,,
1016,,,paul & joe,,,
1017,,,la girl,,,
1018,,,iris & ivy,,,
1019,,,garfield & marks,,,
1020,,,in bloom by jonquil,,,
1021,,,code bleu,,,
1022,,,imperial motion,,,
1023,,,ulla popken,,,
1024,,,jostar,,,
1025,,,inspire,,,
1026,,,believe,,,
1027,,,bourbon and bowties,,,
1028,,,fitbit,,,
